City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Cherskiy,RU,68.75,161.3,61.12,38,100,5.21,overcast clouds
81,Faya,SA,18.3851,42.4509,77.52,38,0,3.98,clear sky
82,Ust-Ilimsk,RU,58.0006,102.6619,54.54,62,61,4.18,broken clouds
83,Norman Wells,CA,65.282,-126.8329,53.64,76,75,11.5,broken clouds
84,Mabaruma,GY,8.2,-59.7833,84.2,84,75,6.91,broken clouds
85,Waingapu,ID,-9.6567,120.2641,75.87,82,93,10.45,overcast clouds
86,Pisco,PE,-13.7,-76.2167,65.01,82,20,6.91,mist
87,Mujiayingzi,CN,42.1167,118.7833,61.48,79,100,6.6,heavy intensity rain
88,Guerrero Negro,MX,27.9769,-114.0611,76.75,53,6,14.92,clear sky
89,Beloha,MG,-25.1667,45.05,67.57,83,2,14.29,clear sky
90,Port Elizabeth,ZA,-33.918,25.5701,62.89,59,100,3.44,overcast clouds
91,Seoul,KR,37.5683,126.9778,65.8,72,0,4.61,clear sky
92,Upernavik,GL,72.7868,-56.1549,30.45,79,25,14.09,scattered clouds
93,Chuy,UY,-33.6971,-53.4616,52.23,62,49,16.44,scattered clouds
94,Avarua,CK,-21.2078,-159.775,75.25,69,75,8.05,broken clouds
95,Taksimo,RU,56.3444,114.8794,57.51,69,100,1.9,overcast clouds
96,Yar-Sale,RU,66.8333,70.8333,57.27,77,100,8.23,overcast clouds
97,Henties Bay,NA,-22.116,14.2845,66.16,59,0,5.03,clear sky
98,Sukhumi,GE,43.0033,41.0153,70.92,74,5,5.32,clear sky
99,Mandla,IN,22.6,80.3833,88.65,43,100,6.4,overcast clouds
100,Leningradskiy,RU,69.3833,178.4167,34.81,71,87,10.13,overcast clouds
101,Kitimat,CA,54.0524,-128.6534,55.78,94,100,3.02,light rain
102,Vanavara,RU,60.34,102.2797,46.81,72,59,4.76,broken clouds
103,Tsumeb,NA,-19.2333,17.7167,60.96,39,0,8.86,clear sky
104,Luderitz,NA,-26.6481,15.1594,64.98,48,3,7.18,clear sky
105,Moree,AU,-29.4667,149.85,40.93,84,44,8.34,scattered clouds
106,Tuatapere,NZ,-46.1333,167.6833,35.17,94,100,4.38,light snow
107,Mar Del Plata,AR,-38.0023,-57.5575,55.42,65,0,11.5,light rain
108,Otradnoye,RU,59.7775,30.8181,66.25,78,19,3.56,few clouds
109,Tautira,PF,-17.7333,-149.15,78.22,81,51,21.59,light rain
110,Mecca,SA,21.4267,39.8261,93.38,36,0,3.27,clear sky
111,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,24.16,few clouds
112,Kichera,RU,55.9375,110.0997,53.04,70,58,1.1,broken clouds
113,Puerto Leguizamo,CO,-0.1934,-74.7819,70.63,99,100,3.71,overcast clouds
114,Portel,BR,-1.9356,-50.8211,82.31,85,92,2.17,overcast clouds
115,Hobart,AU,-42.8794,147.3294,39.06,87,75,14.97,broken clouds
116,Fortuna,US,40.5982,-124.1573,72.52,81,75,0.0,broken clouds
117,Periyanegamam,IN,10.7333,77.1,77.5,79,100,14.99,overcast clouds
118,Kodiak,US,57.79,-152.4072,53.11,82,100,8.05,overcast clouds
119,Sawtell,AU,-30.3833,153.1,42.19,100,0,1.14,clear sky
120,Itaqui,BR,-29.1253,-56.5531,52.84,47,0,6.73,clear sky
121,Wanlaweyn,SO,2.6185,44.8938,76.75,82,76,15.64,broken clouds
122,Jalu,LY,29.0331,21.5482,81.23,43,0,17.56,clear sky
123,Victor Harbor,AU,-35.5667,138.6167,50.68,76,100,10.58,overcast clouds
124,Tres Arroyos,AR,-38.3739,-60.2798,57.27,30,100,4.68,overcast clouds
125,Salta,AR,-24.7859,-65.4117,52.39,88,75,11.5,broken clouds
126,Lingyuan,CN,41.24,119.4011,62.58,81,100,5.26,heavy intensity rain
127,Ribeira Grande,PT,38.5167,-28.7,68.4,68,20,14.97,few clouds
128,Vaini,TO,-21.2,-175.2,73.56,100,40,4.61,scattered clouds
129,Cabo San Lucas,MX,22.8909,-109.9124,87.62,70,40,8.05,scattered clouds
